#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-06-14T21:10:08 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ62a8f53d18970b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=37	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/244/21&tab:{J/ApJS/244/21/table3}&key:source=J/ApJS/244/21&HTTPPRM:&&-ref=VIZ62a8f53d18970b&-out.max=50&-out.form=HTML Table&-order=I&-oc.form=sexa&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/244/21/table3
#-order=I
#-out=KIC
#-out=Kpmag
#-out=Q
#-out=Teff
#-out=E_Teff
#-out=e_Teff
#-out=logg
#-out=E_logg
#-out=e_logg
#-out=Mass
#-out=E_Mass
#-out=e_Mass
#-out=Prot
#-out=E_Prot
#-out=Sph
#-out=E_Sph
#-out=Fl1
#-out=DMK
#-out=Fl2
#-out=Fl3
#-out=Fl4
#-out=Fl5
#-out=M17
#M17=M17
#-out=Simbad
#Simbad=Simbad
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_22440021
#Name: J/ApJS/244/21
#Title: Surface rotation & activity of Kepler stars. I. (Santos+, 2019)
#Table	J_ApJS_244_21_table3:
#Name: J/ApJS/244/21/table3
#Title: Stellar properties for stars with successfully recovered rotation period
#Column	KIC	(I8)	[892834/12984138] Kepler Input Catalog ID	[ucd=meta.id;meta.main]
#Column	Kpmag	(F6.3)	[9/20]? Kepler magnitude	[ucd=phot.mag;em.opt]
#Column	Q	(A5)	First and last observed Kepler Quarters	[ucd=meta.note]
#Column	Teff	(I4)	[2500/5199] Effective temperature	[ucd=phys.temperature.effective]
#Column	E_Teff	(I3)	[0/636] Upper uncertainty on Teff	[ucd=stat.error;stat.max]
#Column	e_Teff	(I3)	[0/706] Lower uncertainty on Teff	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F6.3)	[4.3/5.4] Log surface gravity	[ucd=phys.gravity]
#Column	E_logg	(F6.3)	[0/0.3] Upper uncertainty on logg	[ucd=stat.error;stat.max]
#Column	e_logg	(F6.3)	[0/0.9] Lower uncertainty on logg	[ucd=stat.error]
#Column	Mass	(F6.3)	[0.08/1] Mass	[ucd=phys.mass]
#Column	E_Mass	(F6.3)	[0/0.2] Upper uncertainty on Mass	[ucd=stat.error;stat.max]
#Column	e_Mass	(F6.3)	[0/0.3] Lower uncertainty on Mass	[ucd=stat.error;phys.mass]
#Column	Prot	(F6.2)	[0.2/143.1] Rotation period	[ucd=time.period]
#Column	E_Prot	(F5.2)	[0.03/14]? Uncertainty on Prot	[ucd=stat.error;stat.max]
#Column	Sph	(F7.1)	[1.6/65595.7] Photometric activity proxy	[ucd=spect.index]
#Column	E_Sph	(F7.1)	[2.9/11377.5] Uncertainty on Sph	[ucd=stat.error;stat.max]
#Column	Fl1	(I1)	[1]? CP/CB candidate flag (1=Type 1 CP/CB candidate) (1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	DMK	(F6.3)	[-1.3/0.8]? Luminosity excess correction (G1)	[ucd=phot.color.excess]
#Column	Fl2	(I1)	[0/1]? GAIA binary flag (G2) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Fl3	(I1)	[0/1]? GAIA subgiant flag (G3) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Fl4	(I1)	[0/1]? KOI flag (G4) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Fl5	(I1)	[0/2]? FliPer Class flag (G5) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	M17	(A3)	Display the data from the KSPC DR25 (Mathur+, 2017, J/ApJS/229/30)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Position from KIC catalog (V/133) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position from KIC catalog (V/133) (declination part)	[ucd=pos.eq.dec;meta.main]
KIC	Kpmag	Q	Teff	E_Teff	e_Teff	logg	E_logg	e_logg	Mass	E_Mass	e_Mass	Prot	E_Prot	Sph	E_Sph	Fl1	DMK	Fl2	Fl3	Fl4	Fl5	M17	Simbad	_RA	_DE
 1296779	12.889	 0-17	3703	115	141	 4.794	 0.117	 0.054	 0.461	 0.071	 0.106	 32.38	 2.83	 1300.4	   31.1	 	      	0	0	 	0	M17	Simbad	291.84061	+36.99745
 1296787	14.868	 1-17	4828	146	131	 4.573	 0.054	 0.036	 0.724	 0.081	 0.054	  9.83	 0.68	 5040.4	  215.2	 	      	0	0	 	0	M17	Simbad	291.84280	+36.95557
 1297058	14.433	 1-17	5024	 90	 70	 4.613	 0.007	 0.066	 0.845	 0.030	 0.056	 27.23	 2.14	 2155.8	   57.3	 	      	0	0	 	0	M17	Simbad	291.90344	+36.94738
 1297166	15.946	 4-17	4728	167	167	 4.628	 0.024	 0.056	 0.768	 0.051	 0.077	 18.99	 1.50	 2494.4	   87.9	 	      	0	0	 	0	M17	Simbad	291.92667	+36.96973
 1297303	15.494	 1-17	4451	121	134	 4.609	 0.052	 0.020	 0.648	 0.066	 0.054	 27.42	 3.18	 1949.0	   56.3	 	      	0	0	 	0	M17	Simbad	291.95847	+36.99961
 1429153	14.660	 1-17	5193	154	138	 4.503	 0.102	 0.076	 0.753	 0.104	 0.052	 21.82	 2.27	  710.7	   25.1	 	      	 	 	 	0	M17	Simbad	290.65417	+37.08180
 1429893	13.779	 1-17	4887	 78	 78	 4.611	 0.012	 0.054	 0.840	 0.025	 0.058	 33.75	 3.16	 1069.1	   26.3	 	      	0	0	 	0	M17	Simbad	290.82825	+37.02793
 1429921	15.828	 1-17	4355	130	130	 4.688	 0.032	 0.052	 0.635	 0.055	 0.061	 23.21	 1.59	 4030.3	  119.1	 	      	0	0	 	0	M17	Simbad	290.83389	+37.07471
 1430330	15.401	 4-17	4710	169	169	 4.617	 0.020	 0.052	 0.816	 0.035	 0.081	 32.38	 2.28	  906.5	   35.8	 	      	0	0	 	0	M17	Simbad	290.93497	+37.05353
 1430349	15.142	 1-17	4286	 77	 85	 4.675	 0.018	 0.030	 0.622	 0.031	 0.034	 31.93	 4.51	 1038.3	   29.8	 	      	0	0	 	0	M17	Simbad	290.93961	+37.00636
 1430893	15.410	 1-17	3929	 88	 98	 4.723	 0.033	 0.033	 0.564	 0.036	 0.045	 16.88	 1.21	 2763.4	   96.5	 	      	0	0	 	0	M17	Simbad	291.08667	+37.07256
 1431060	15.439	 1-17	4256	127	140	 4.706	 0.050	 0.041	 0.562	 0.051	 0.051	 40.14	 2.62	 1153.7	   30.2	 	      	1	0	 	0	M17	Simbad	291.12814	+37.03793
 1431116	13.426	 1-17	4507	134	134	 4.601	 0.049	 0.025	 0.675	 0.067	 0.054	 39.04	 3.31	 1948.6	   42.1	 	      	0	0	 	0	M17	Simbad	291.14099	+37.05879
 1431287	15.096	 1-17	5088	153	138	 4.508	 0.091	 0.063	 0.763	 0.098	 0.057	 45.79	 3.64	 1317.6	   30.0	 	      	0	0	 	0	M17	Simbad	291.18167	+37.07352
 1431845	15.967	14-17	3694	133	133	 4.686	 0.076	 0.022	 0.567	 0.041	 0.069	 46.75	 3.21	 1593.1	   58.5	 	      	 	 	 	0	M17	Simbad	291.30658	+37.05212
 1432700	15.843	 1-17	4656	154	154	 4.602	 0.028	 0.039	 0.773	 0.040	 0.063	 30.84	 1.60	  450.2	   29.7	 	      	0	0	 	0	M17	Simbad	291.47934	+37.04834
 1432745	13.208	 0-17	4450	 79	 88	 4.662	 0.009	 0.048	 0.717	 0.026	 0.044	 21.81	 1.70	 4761.6	  133.0	 	      	0	0	 	0	M17	Simbad	291.48816	+37.07309
 1432847	15.617	 1-17	4838	145	145	 4.596	 0.036	 0.045	 0.750	 0.066	 0.066	 17.35	 1.41	 4237.3	  142.0	 	      	0	0	 	0	M17	Simbad	291.51175	+37.07312
 1433040	14.673	 1-17	4977	151	151	 4.606	 0.030	 0.065	 0.811	 0.057	 0.085	 28.19	 2.34	 2233.3	   58.8	 	      	0	0	 	0	M17	Simbad	291.55167	+37.01208
 1433104	15.286	 4-17	4640	163	163	 4.642	 0.024	 0.052	 0.735	 0.051	 0.077	 24.03	 1.89	 3914.8	  110.1	 	      	0	0	 	0	M17	Simbad	291.56339	+37.04011
 1433755	15.686	 2-17	4938	151	136	 4.617	 0.030	 0.065	 0.799	 0.051	 0.082	 52.23	 3.15	 2177.4	   45.8	 	      	0	0	 	0	M17	Simbad	291.71497	+37.03690
 1434976	14.786	 1-17	4613	 83	 83	 4.623	 0.009	 0.048	 0.796	 0.016	 0.042	 31.06	 3.44	 1484.3	   39.2	 	      	0	0	 	0	M17	Simbad	291.98160	+37.03062
 1435229	14.586	 1-17	3927	 70	 78	 4.774	 0.054	 0.027	 0.467	 0.034	 0.034	 23.54	 1.70	 1439.9	   43.2	 	      	 	 	 	0	M17	Simbad	292.02982	+37.02163
 1435260	15.998	 4-17	4786	172	172	 4.499	 0.091	 0.049	 0.798	 0.051	 0.046	 21.81	 1.89	 1248.5	   48.5	 	      	0	0	 	0	M17	Simbad	292.03842	+37.06492
 1435987	14.680	 3-16	4088	143	143	 4.647	 0.056	 0.021	 0.604	 0.058	 0.064	 15.53	 1.13	 2624.0	  103.5	 	      	0	0	 	0	M17	Simbad	292.19427	+37.07393
 1569682	15.488	 1-17	3860	 77	 96	 4.752	 0.036	 0.040	 0.544	 0.035	 0.047	 17.11	 2.11	  594.2	   29.3	 	      	0	0	 	2	M17	Simbad	290.58542	+37.16436
 1570711	13.915	 2-17	4562	159	159	 4.621	 0.039	 0.032	 0.683	 0.068	 0.062	 19.66	 1.84	 1565.9	   49.1	 	      	0	0	 	0	M17	Simbad	290.81787	+37.19906
 1570915	13.863	 1-17	4078	 73	 89	 4.713	 0.045	 0.017	 0.515	 0.031	 0.028	 12.18	 0.97	 2545.5	   98.2	 	      	0	0	 	0	M17	Simbad	290.86166	+37.15507
 1571003	14.409	 1-17	4857	 73	 87	 4.631	 0.012	 0.042	 0.773	 0.027	 0.059	  9.69	 0.69	 1414.2	   65.4	 	      	0	0	 	0	M17	Simbad	290.88510	+37.19654
 1571364	14.421	 1-17	4469	 80	 80	 4.648	 0.028	 0.020	 0.628	 0.037	 0.026	 20.35	 1.56	 2232.6	   68.4	 	      	0	0	 	0	M17	Simbad	290.96371	+37.15283
 1572038	15.763	 4-17	4994	181	161	 4.542	 0.078	 0.054	 0.726	 0.095	 0.055	 11.21	 0.75	 1440.4	   71.6	 	      	0	0	 	0	M17	Simbad	291.12115	+37.17155
 1572433	14.950	 1-17	4678	139	139	 4.608	 0.040	 0.036	 0.716	 0.064	 0.058	 35.43	 5.18	 1399.6	   35.4	 	      	0	0	 	0	M17	Simbad	291.20767	+37.13770
 1572802	15.329	 1-17	3876	 77	 85	 4.719	 0.032	 0.022	 0.544	 0.030	 0.030	  0.37	     	21084.8	 2256.0	1	      	0	0	 	1	M17	Simbad	291.29581	+37.15586
 1573478	15.521	 1-17	4565	 82	 82	 4.613	 0.045	 0.015	 0.639	 0.039	 0.026	 17.84	 1.47	 2315.0	   81.1	 	      	1	0	 	0	M17	Simbad	291.43079	+37.15172
 1574944	15.000	 1-17	4798	 76	 86	 4.614	 0.012	 0.048	 0.820	 0.020	 0.057	 17.47	 1.45	 3630.3	  118.8	 	      	0	0	 	0	M17	Simbad	291.72952	+37.11580
 1575424	15.673	 4-17	4866	175	175	 4.554	 0.065	 0.040	 0.740	 0.075	 0.060	 34.70	 4.90	  717.0	   24.4	 	      	0	0	 	0	M17	Simbad	291.82910	+37.14061
 1576141	14.364	 4-17	4997	 79	 79	 4.689	 0.012	 0.054	 0.677	 0.026	 0.040	  2.72	 0.17	   66.9	   18.7	 	      	0	0	 	0	M17	Simbad	291.97986	+37.16866
 1577003	11.830	 1- 2	4133	130	159	 4.666	 0.048	 0.028	 0.604	 0.059	 0.066	 14.80	 1.53	 1991.8	   89.8	 	      	 	 	 	2	M17	Simbad	292.15082	+37.18984
 1577167	15.836	 2-17	3900	121	135	 4.727	 0.072	 0.048	 0.555	 0.056	 0.077	 22.58	 2.06	  360.4	   22.1	 	      	0	0	 	0	M17	Simbad	292.17993	+37.10317
 1577265	15.568	 1-17	3900	117	117	 4.710	 0.035	 0.031	 0.571	 0.041	 0.045	 15.00	 1.23	 2125.9	   82.6	 	      	 	 	 	0	M17	Simbad	292.20151	+37.17714
 1701553	13.168	 2-15	4818	167	167	 4.481	 0.118	 0.711	 0.809	 0.059	 0.042	 27.23	 2.36	 5036.3	  158.8	 	      	0	0	 	0	M17	Simbad	286.17902	+37.27817
 1717515	14.097	 1-17	5047	 83	 75	 4.489	 0.080	 0.030	 0.818	 0.053	 0.031	 26.12	 2.62	  965.3	   27.9	 	      	0	0	 	0	M17	Simbad	290.57349	+37.22797
 1717999	15.585	 2-17	4994	151	136	 4.560	 0.066	 0.044	 0.706	 0.093	 0.050	 28.98	 2.24	 1448.0	   43.4	 	      	0	0	 	0	M17	Simbad	290.68433	+37.22501
 1718071	15.708	 1-17	3873	 87	 97	 4.744	 0.056	 0.032	 0.504	 0.043	 0.043	 21.37	 2.03	  569.2	   27.3	 	      	0	0	 	0	M17	Simbad	290.70587	+37.24764
 1719166	15.747	 1-17	4864	145	145	 4.650	 0.059	 0.032	 0.598	 0.060	 0.030	 17.59	 1.36	 5076.4	  167.8	 	      	0	0	 	0	M17	Simbad	290.97388	+37.29213
 1719358	15.257	 1-17	4710	 83	 83	 4.628	 0.009	 0.051	 0.782	 0.028	 0.048	 13.61	 1.05	 2782.7	  106.9	 	      	0	0	 	0	M17	Simbad	291.02161	+37.27658
 1720196	15.223	 4-17	4868	175	175	 4.579	 0.050	 0.045	 0.737	 0.075	 0.061	 12.35	 0.90	 1008.8	   47.4	 	      	0	0	 	0	M17	Simbad	291.23605	+37.29767
 1720670	15.728	 2-17	3929	 54	 62	 4.723	 0.020	 0.025	 0.564	 0.020	 0.029	 14.59	 1.27	  283.7	   23.7	 	      	1	0	 	0	M17	Simbad	291.35376	+37.24922
 1720673	15.651	 1-17	4348	118	144	 4.672	 0.058	 0.027	 0.556	 0.056	 0.042	 19.66	 1.45	 1170.3	   45.3	 	      	0	0	 	0	M17	Simbad	291.35507	+37.20964
 1721157	15.144	 1-17	5119	154	139	 4.591	 0.024	 0.090	 0.879	 0.050	 0.092	 11.69	 1.04	 2104.0	   89.2	 	      	0	0	1	0	M17	Simbad	291.45734	+37.20684
 1721911	15.184	 1-17	3705	 74	 81	 4.798	 0.052	 0.032	 0.464	 0.034	 0.043	 29.18	 2.24	 1227.0	   35.9	 	      	0	0	 	0	M17	Simbad	291.62067	+37.22728
 1722134	15.407	 4-17	5147	 81	 81	 4.619	 0.017	 0.059	 0.809	 0.029	 0.064	 26.13	 2.39	  361.8	   17.4	 	      	 	 	 	0	M17	Simbad	291.67078	+37.20226
 1722506	13.716	 1-17	4335	130	143	 4.737	 0.065	 0.035	 0.502	 0.039	 0.039	 10.53	 0.75	10633.9	  423.9	 	      	0	0	 	0	M17	Simbad	291.74109	+37.20020
 1723529	15.079	 1-17	5118	153	153	 4.607	 0.030	 0.084	 0.839	 0.057	 0.098	 34.22	 4.29	  604.2	   23.4	 	      	0	0	 	0	M17	Simbad	291.96347	+37.26413
 1724234	17.038	 6- 9	3504	104	115	 4.936	 0.114	 0.085	 0.320	 0.096	 0.096	 85.44	 7.28	 4547.8	  151.3	 	      	0	0	 	2	M17	Simbad	292.10266	+37.23151
 1724498	15.954	 1-17	4362	131	131	 4.662	 0.052	 0.028	 0.578	 0.063	 0.042	 28.97	 2.65	  408.6	   21.7	 	      	1	0	 	0	M17	Simbad	292.16089	+37.26809
 1724806	14.234	 1-17	5134	 82	 71	 4.580	 0.009	 0.077	 0.931	 0.019	 0.064	 23.04	 3.11	  306.3	   12.5	 	      	0	0	 	0	M17	Simbad	292.22037	+37.22806
 1725330	15.984	 1-17	4400	157	157	 4.660	 0.056	 0.028	 0.575	 0.065	 0.047	 25.23	 2.12	 1857.1	   81.3	 	      	0	0	 	2	M17	Simbad	292.32159	+37.21683
 1849590	14.555	 1-17	4187	125	125	 4.656	 0.056	 0.024	 0.580	 0.064	 0.052	 16.08	 1.17	 2748.4	   93.9	 	      	0	0	 	0	M17	Simbad	286.25290	+37.31196
 1849702	14.125	 1-17	5026	100	100	 4.580	 0.024	 0.048	 0.800	 0.038	 0.048	 18.11	 3.47	  143.4	    8.9	 	      	 	 	1	0	M17	Simbad	286.28595	+37.38706
 1865477	15.290	 1-17	4999	151	136	 4.544	 0.055	 0.055	 0.790	 0.071	 0.064	 35.43	 2.91	 2461.3	   59.5	 	      	0	0	 	0	M17	Simbad	290.78598	+37.31123
 1865663	14.168	 1-17	4121	 82	 82	 4.631	 0.038	 0.013	 0.631	 0.035	 0.025	 30.42	 2.28	 2536.4	   62.4	 	      	 	 	 	0	M17	Simbad	290.83060	+37.38708
 1865864	15.572	 2-17	4848	131	146	 4.581	 0.063	 0.036	 0.679	 0.081	 0.047	 21.21	 1.63	 5143.7	  153.2	 	      	0	0	1	0	M17	Simbad	290.87305	+37.36218
 1865925	15.687	 1-17	4685	126	140	 4.598	 0.054	 0.027	 0.670	 0.082	 0.048	 22.42	 1.67	 2907.6	   89.6	 	      	0	0	 	0	M17	Simbad	290.89145	+37.34968
