kepid,kepoi_name,kepler_name,koi_disposition,adopted_Teff,adopted_Teff_err,adopted_Teff_provenance,Prot,Prot_err,Prot_provenance,li_eagles_LiEW,li_eagles_eLiEW,gyro_median,gyro_+1sigma,gyro_-1sigma,li_median,li_+1sigma,li_-1sigma,adopted_rp,adopted_rp_provenance,adopted_period,flag_gyro_quality,flag_planet_quality,has_hires,t_gyro,t_li,are_gyro_and_li_consistent
12061969,K02061.02,Kepler-2001 b,CONFIRMED,4846,85,2020AJ....159..280B,18.99,0.35,2019ApJS..244...21S,,,2074,69,69,,,,1.03,2020AJ....160..108B,1.09,0,0,0,$2074^{+69}_{-69}$,--,--
12061969,K02061.01,Kepler-2001 c,CONFIRMED,4846,85,2020AJ....159..280B,18.99,0.35,2019ApJS..244...21S,,,2074,69,69,,,,1.8,2020AJ....160..108B,14.09,0,0,0,$2074^{+69}_{-69}$,--,--
8160953,K01858.01,Kepler-985 b,CONFIRMED,5354,106,2021ApJS..255...17S,18.34,0.32,2021ApJS..255...17S,16,11,2077,120,100,,,,3.26,10.26133/NEA4,116.33,0,0,1,$2077^{+120}_{-100}$,$> 529$,Yes
8277797,K01820.02,Kepler-322 b,CONFIRMED,5261,85,2020AJ....159..280B,18.73,0.34,2021ApJS..255...17S,-3,13,2087,94,87,,,,0.9,2022AJ....163..179P,1.65,0,0,1,$2087^{+94}_{-87}$,$> 648$,Yes
8277797,K01820.01,Kepler-322 c,CONFIRMED,5261,85,2020AJ....159..280B,18.73,0.34,2021ApJS..255...17S,-3,13,2087,94,87,,,,1.52,2022AJ....163..179P,4.34,0,0,1,$2087^{+94}_{-87}$,$> 648$,Yes
4473226,K02229.01,Kepler-1682 b,CONFIRMED,5749,110,2020AJ....159..280B,15.32,0.17,2021ApJS..255...17S,,,2094,408,283,,,,2.39,2020AJ....160..108B,14.83,0,0,0,$2094^{+408}_{-283}$,--,--
4545570,K04506.01,Kepler-1961 b,CONFIRMED,5278,106,2020AJ....159..280B,18.74,0.34,2021ApJS..255...17S,,,2099,104,92,,,,1.28,2020AJ....160..108B,5.6,0,0,0,$2099^{+104}_{-92}$,--,--
3354846,K02444.01,Kepler-1241 b,CONFIRMED,5262,105,2020AJ....159..280B,18.83,0.34,2021ApJS..255...17S,,,2105,102,90,,,,2.54,2020AJ....160..108B,18.55,0,0,0,$2105^{+102}_{-90}$,--,--
7131760,K03407.01,Kepler-1490 b,CONFIRMED,5434,114,2020AJ....159..280B,18.19,0.31,2021ApJS..255...17S,,,2111,161,120,,,,3.09,2020AJ....160..108B,92.44,0,4,0,$2111^{+161}_{-120}$,--,--
10843431,K07378.01,Kepler-1999 b,CONFIRMED,4463,88,2020AJ....159..280B,18.47,0.32,2019ApJS..244...21S,,,2116,100,88,,,,3.35,2020AJ....160..108B,8.74,0,4,0,$2116^{+100}_{-88}$,--,--
3219995,K02314.01,Kepler-1187 b,CONFIRMED,5927,110,2020AJ....159..280B,12.60,0.13,2021ApJS..255...17S,,,2116,595,486,,,,3.03,2020AJ....160..108B,18.87,0,4,0,$2116^{+595}_{-486}$,--,--
10330115,K01160.01,Kepler-781 b,CONFIRMED,5060,91,2020AJ....159..280B,19.39,0.37,2021ApJS..255...17S,,,2126,79,76,,,,3.07,2020AJ....160..108B,13.21,0,4,0,$2126^{+79}_{-76}$,--,--
11499228,K02109.01,Kepler-1103 b,CONFIRMED,6019,104,2020AJ....159..280B,10.90,0.11,2021ApJS..255...17S,14,4,2130,635,594,,,,3.26,2022AJ....163..179P,19.79,518,4,1,$2130^{+635}_{-594}$,$> 501$,Yes
8416523,K04441.01,Kepler-1604 b,CONFIRMED,4870,86,2020AJ....159..280B,19.51,0.38,2021AJ....161..265D,2,17,2131,72,71,,,,1.72,2020AJ....160..108B,0.34,2048,4,1,$2131^{+72}_{-71}$,$> 312$,Yes
10875245,K00117.03,Kepler-107 b,CONFIRMED,5971,116,2020AJ....159..280B,22.35,0.52,2018MNRAS.474.2094A,59,3,3878,279,306,2135,2766,1304,1.6,2022AJ....163..179P,3.18,2564,0,1,$3878^{+279}_{-306}$,$2135^{+2766}_{-1304}$,Yes
10875245,K00117.02,Kepler-107 c,CONFIRMED,5971,116,2020AJ....159..280B,22.35,0.52,2018MNRAS.474.2094A,59,3,3878,279,306,2135,2766,1304,1.73,2022AJ....163..179P,4.9,2564,0,1,$3878^{+279}_{-306}$,$2135^{+2766}_{-1304}$,Yes
10875245,K00117.04,Kepler-107 d,CONFIRMED,5971,116,2020AJ....159..280B,22.35,0.52,2018MNRAS.474.2094A,59,3,3878,279,306,2135,2766,1304,1.02,2022AJ....163..179P,7.96,2564,0,1,$3878^{+279}_{-306}$,$2135^{+2766}_{-1304}$,Yes
10875245,K00117.01,Kepler-107 e,CONFIRMED,5971,116,2020AJ....159..280B,22.35,0.52,2018MNRAS.474.2094A,59,3,3878,279,306,2135,2766,1304,3.02,2022AJ....163..179P,14.75,2564,0,1,$3878^{+279}_{-306}$,$2135^{+2766}_{-1304}$,Yes
7832356,K01456.01,Kepler-855 b,CONFIRMED,5802,118,2020AJ....159..280B,14.77,0.15,2021ApJS..255...17S,,,2136,490,350,,,,11.68,2020AJ....160..108B,7.89,514,0,0,$2136^{+490}_{-350}$,--,--
5351250,K00408.04,Kepler-150 b,CONFIRMED,5587,92,2020AJ....159..280B,17.35,0.27,2021ApJS..255...17S,-19,23,2141,216,162,,,,1.17,2020AJ....160..108B,3.43,0,0,1,$2141^{+216}_{-162}$,$> 701$,Yes
5351250,K00408.01,Kepler-150 c,CONFIRMED,5587,92,2020AJ....159..280B,17.35,0.27,2021ApJS..255...17S,-19,23,2141,216,162,,,,3.32,2020AJ....160..108B,7.38,0,0,1,$2141^{+216}_{-162}$,$> 701$,Yes
5351250,K00408.02,Kepler-150 d,CONFIRMED,5587,92,2020AJ....159..280B,17.35,0.27,2021ApJS..255...17S,-19,23,2141,216,162,,,,2.66,2020AJ....160..108B,12.56,0,0,1,$2141^{+216}_{-162}$,$> 701$,Yes
5351250,K00408.03,Kepler-150 e,CONFIRMED,5587,92,2020AJ....159..280B,17.35,0.27,2021ApJS..255...17S,-19,23,2141,216,162,,,,3.09,2020AJ....160..108B,30.83,0,4,1,$2141^{+216}_{-162}$,$> 701$,Yes
6106282,K04087.01,Kepler-440 b,CONFIRMED,4171,56,2020AJ....159..280B,17.47,0.27,2019ApJS..244...21S,8,18,2141,124,119,,,,1.91,2022AJ....163..179P,101.11,0,0,1,$2141^{+124}_{-119}$,$> 120$,Yes
11391957,K00765.01,Kepler-668 b,CONFIRMED,5319,95,2020AJ....159..280B,18.96,0.35,2021ApJS..255...17S,,,2147,112,98,,,,2.42,2020AJ....160..108B,8.35,0,0,0,$2147^{+112}_{-98}$,--,--
2975770,K01788.01,Kepler-951 b,CONFIRMED,4718,100,2020AJ....159..280B,19.52,0.38,2019ApJS..244...21S,6,9,2151,78,74,,,,5.2,2022AJ....163..179P,71.53,0,0,1,$2151^{+78}_{-74}$,$> 258$,Yes
4857213,K02120.01,Kepler-1680 b,CONFIRMED,5072,91,2020AJ....159..280B,19.64,0.38,2019ApJS..244...21S,4,9,2158,82,78,,,,1.1,2022AJ....163..179P,8.77,0,4,1,$2158^{+82}_{-78}$,$> 478$,Yes
11129258,K02898.01,Kepler-1381 b,CONFIRMED,5834,106,2020AJ....159..280B,14.37,0.14,2021ApJS..255...17S,,,2159,478,366,,,,2.16,2020AJ....160..108B,25.38,0,0,0,$2159^{+478}_{-366}$,--,--
5125347,K02241.01,Kepler-1812 b,CONFIRMED,6097,201,2020AJ....159..280B,11.20,0.11,2021ApJS..255...17S,,,2160,797,754,,,,2.32,2020AJ....160..108B,7.17,0,0,0,$2160^{+797}_{-754}$,--,--
9885417,K03246.01,Kepler-1446 b,CONFIRMED,4617,72,2020AJ....159..280B,19.39,0.37,2019ApJS..244...21S,2,9,2161,81,76,,,,0.78,2022AJ....163..179P,0.69,0,0,1,$2161^{+81}_{-76}$,$> 236$,Yes
6948054,K00869.01,Kepler-245 b,CONFIRMED,5136,95,2020AJ....159..280B,19.56,0.38,2018MNRAS.474.2094A,5,15,2162,88,82,,,,2.63,2020AJ....160..108B,7.49,2048,0,1,$2162^{+88}_{-82}$,$> 468$,Yes
6948054,K00869.03,Kepler-245 c,CONFIRMED,5136,95,2020AJ....159..280B,19.56,0.38,2018MNRAS.474.2094A,5,15,2162,88,82,,,,2.37,2020AJ....160..108B,17.46,2048,0,1,$2162^{+88}_{-82}$,$> 468$,Yes
6948054,K00869.02,Kepler-245 d,CONFIRMED,5136,95,2020AJ....159..280B,19.56,0.38,2018MNRAS.474.2094A,5,15,2162,88,82,,,,3.1,2020AJ....160..108B,36.28,2048,0,1,$2162^{+88}_{-82}$,$> 468$,Yes
6948054,K00869.04,Kepler-245 e,CONFIRMED,5136,95,2020AJ....159..280B,19.56,0.38,2018MNRAS.474.2094A,5,15,2162,88,82,,,,1.73,2020AJ....160..108B,3.22,2048,0,1,$2162^{+88}_{-82}$,$> 468$,Yes
11705004,K02199.01,Kepler-1806 b,CONFIRMED,5163,94,2020AJ....159..280B,19.52,0.38,2021ApJS..255...17S,,,2164,90,84,,,,1.87,2020AJ....160..108B,9.03,0,0,0,$2164^{+90}_{-84}$,--,--
757450,K00889.01,Kepler-75 b,CONFIRMED,5301,111,2020AJ....159..280B,19.12,0.36,2021ApJS..255...17S,14,9,2164,118,99,,,,11.93,2020AJ....160..108B,8.88,0,0,1,$2164^{+118}_{-99}$,$> 548$,Yes
11074178,K01889.01,Kepler-1001 b,CONFIRMED,5434,94,2020AJ....159..280B,18.60,0.33,2021ApJS..255...17S,-14,5,2171,144,118,,,,2.97,2020AJ....160..108B,14.31,0,4,1,$2171^{+144}_{-118}$,$> 918$,Yes
11074178,K01889.02,Kepler-1001 c,CONFIRMED,5434,94,2020AJ....159..280B,18.60,0.33,2021ApJS..255...17S,-14,5,2171,144,118,,,,2.11,2020AJ....160..108B,9.18,0,4,1,$2171^{+144}_{-118}$,$> 918$,Yes
8282846,K04015.01,Kepler-1539 b,CONFIRMED,5051,90,2020AJ....159..280B,19.79,0.39,2019ApJS..244...21S,,,2173,81,78,,,,2.42,2020AJ....160..108B,133.3,0,0,0,$2173^{+81}_{-78}$,--,--
6186964,K02839.01,Kepler-1366 b,CONFIRMED,4197,63,2020AJ....159..280B,17.72,0.29,2019ApJS..244...21S,6,21,2173,126,118,,,,1.56,2022AJ....163..179P,2.16,0,0,1,$2173^{+126}_{-118}$,$> 124$,Yes
7955580,K01711.01,Kepler-934 b,CONFIRMED,4934,85,2020AJ....159..280B,19.93,0.40,2019ApJS..244...21S,5,9,2178,76,74,,,,2.09,2022AJ....163..179P,55.67,0,0,1,$2178^{+76}_{-74}$,$> 382$,Yes
10604335,K01298.01,Kepler-283 b,CONFIRMED,4281,80,2020AJ....159..280B,18.09,0.30,2019ApJS..244...21S,8,26,2179,129,113,,,,2.33,2022AJ....163..179P,11.01,64,0,1,$2179^{+129}_{-113}$,$> 133$,Yes
10604335,K01298.02,Kepler-283 c,CONFIRMED,4281,80,2020AJ....159..280B,18.09,0.30,2019ApJS..244...21S,8,26,2179,129,113,,,,1.95,2020AJ....160..108B,92.75,64,0,1,$2179^{+129}_{-113}$,$> 133$,Yes
5705819,K02091.01,Kepler-1793 b,CONFIRMED,5296,108,2020AJ....159..280B,19.25,0.36,2019ApJS..244...21S,,,2180,117,100,,,,2.63,2020AJ....160..108B,8.78,256,0,0,$2180^{+117}_{-100}$,--,--
4736569,K01996.01,Kepler-1042 b,CONFIRMED,4847,114,2020AJ....159..280B,19.93,0.40,2019ApJS..244...21S,,,2183,76,74,,,,1.67,10.26133/NEA4,10.13,640,0,0,$2183^{+76}_{-74}$,--,--
4370527,K02166.01,Kepler-1128 b,CONFIRMED,5370,100,2020AJ....159..280B,18.99,0.35,2021ApJS..255...17S,,,2184,130,109,,,,3.16,2020AJ....160..108B,61.62,0,0,0,$2184^{+130}_{-109}$,--,--
8015907,K00517.01,Kepler-585 b,CONFIRMED,5375,87,2020AJ....159..280B,18.99,0.35,2021ApJS..255...17S,0,17,2184,122,107,,,,2.51,2022AJ....163..179P,2.75,0,0,1,$2184^{+122}_{-107}$,$> 628$,Yes
10794087,K01316.01,Kepler-1743 b,CONFIRMED,5929,104,2020AJ....159..280B,nan,nan,,58,4,,,,2195,2874,1336,1.4,2022AJ....163..179P,7.65,518,4,1,--,$2195^{+2874}_{-1336}$,No
8222813,K01069.01,Kepler-760 b,CONFIRMED,5206,84,2020AJ....159..280B,19.69,0.38,2021AJ....161..265D,-17,22,2199,96,89,,,,2.87,2020AJ....160..108B,8.7,2048,0,1,$2199^{+96}_{-89}$,$> 574$,Yes
8222813,K01069.02,Kepler-760 c,CONFIRMED,5206,84,2020AJ....159..280B,19.69,0.38,2021AJ....161..265D,-17,22,2199,96,89,,,,1.57,2020AJ....160..108B,2.47,2048,0,1,$2199^{+96}_{-89}$,$> 574$,Yes
8346392,K01141.01,Kepler-777 b,CONFIRMED,4158,61,2020AJ....159..280B,17.84,0.29,2019ApJS..244...21S,25,36,2224,132,125,,,,1.63,2022AJ....163..179P,5.73,0,0,1,$2224^{+132}_{-125}$,$> 91$,Yes
8505920,K02094.02,Kepler-1090 b,CONFIRMED,5394,118,2020AJ....159..280B,19.13,0.36,2021ApJS..255...17S,12,13,2226,158,121,,,,2.79,10.26133/NEA4,198.68,640,0,1,$2226^{+158}_{-121}$,$> 574$,Yes
8505920,K02094.01,Kepler-1090 c,CONFIRMED,5394,118,2020AJ....159..280B,19.13,0.36,2021ApJS..255...17S,12,13,2226,158,121,,,,3.44,10.26133/NEA4,42.43,640,4,1,$2226^{+158}_{-121}$,$> 574$,Yes
7609553,K02924.01,Kepler-1387 b,CONFIRMED,4847,85,2020AJ....159..280B,20.35,0.42,2019ApJS..244...21S,,,2228,78,75,,,,0.8,2020AJ....160..108B,2.28,0,0,0,$2228^{+78}_{-75}$,--,--
9592705,K00288.01,Kepler-1714 b,CONFIRMED,5900,107,2020AJ....159..280B,13.57,0.14,2018MNRAS.474.2094A,1,7,2231,536,448,,,,2.98,2022AJ....163..179P,10.28,2694,0,1,$2231^{+536}_{-448}$,$> 717$,Yes
10005788,K01940.01,Kepler-1022 b,CONFIRMED,4271,78,2020AJ....159..280B,18.34,0.32,2019ApJS..244...21S,0,15,2232,136,119,,,,1.88,2022AJ....163..179P,10.99,0,0,1,$2232^{+136}_{-119}$,$> 150$,Yes
2142522,K02403.01,Kepler-1224 b,CONFIRMED,6319,110,2020AJ....159..280B,10.12,0.10,2021ApJS..255...17S,56,4,,,,2233,3312,1538,1.29,2022AJ....163..179P,13.32,1,0,1,--,$2233^{+3312}_{-1538}$,--
11298298,K01802.01,Kepler-956 b,CONFIRMED,5902,98,2020AJ....159..280B,13.50,0.14,2021ApJS..255...17S,41,4,2233,507,433,,,,2.45,2022AJ....163..179P,5.25,0,4,1,$2233^{+507}_{-433}$,$> 270$,Yes
8891684,K05581.01,Kepler-1634 b,CONFIRMED,5311,89,2020AJ....159..280B,19.63,0.38,2021ApJS..255...17S,,,2240,115,102,,,,2.68,2020AJ....160..108B,374.88,0,0,0,$2240^{+115}_{-102}$,--,--
7094486,K01907.01,Kepler-1009 b,CONFIRMED,4157,92,2020AJ....159..280B,17.96,0.30,2019ApJS..244...21S,25,18,2242,142,132,,,,1.75,10.26133/NEA4,11.35,640,0,1,$2242^{+142}_{-132}$,$> 93$,Yes
9391208,K01409.01,Kepler-837 b,CONFIRMED,5455,94,2020AJ....159..280B,19.00,0.35,SantosPrivComm,,,2255,157,129,,,,2.72,2020AJ....160..108B,16.56,0,4,0,$2255^{+157}_{-129}$,--,--
3632089,K03308.01,Kepler-1464 b,CONFIRMED,5671,120,2020AJ....159..280B,31.10,0.96,2018MNRAS.474.2094A,54,3,,,,2258,2811,1286,2.64,2022AJ....163..179P,31.78,2566,0,1,$> 4000$,$2258^{+2811}_{-1286}$,Yes
3632089,K03308.02,Kepler-1464 c,CONFIRMED,5671,120,2020AJ....159..280B,31.10,0.96,2018MNRAS.474.2094A,54,3,,,,2258,2811,1286,1.53,2022AJ....163..179P,5.33,2566,0,1,$> 4000$,$2258^{+2811}_{-1286}$,Yes
9455325,K01813.01,Kepler-958 b,CONFIRMED,5419,92,2020AJ....159..280B,19.25,0.36,2021ApJS..255...17S,-8,12,2261,144,121,,,,2.01,2022AJ....163..179P,9.77,0,4,1,$2261^{+144}_{-121}$,$> 794$,Yes
1026957,K00958.01,Kepler-1731 b,CONFIRMED,4772,78,2020AJ....159..280B,20.61,0.43,SantosPrivComm,-1,7,2265,81,78,,,,2.49,2022AJ....163..179P,21.76,0,0,1,$2265^{+81}_{-78}$,$> 319$,Yes
9656252,K02044.01,Kepler-1068 b,CONFIRMED,5610,107,2020AJ....159..280B,17.82,0.29,2021ApJS..255...17S,6,17,2269,267,194,,,,3.46,2020AJ....160..108B,16.92,0,0,1,$2269^{+267}_{-194}$,$> 620$,Yes
3733628,K00387.01,Kepler-543 b,CONFIRMED,4562,73,2020AJ....159..280B,20.07,0.40,2019ApJS..244...21S,9,12,2269,97,88,,,,2.46,10.26133/NEA4,13.9,128,0,1,$2269^{+97}_{-88}$,$> 194$,Yes
10878263,K00341.02,Kepler-414 b,CONFIRMED,5571,89,2020AJ....159..280B,18.21,0.31,2021ApJS..255...17S,-2,12,2269,204,162,,,,1.66,2022AJ....163..179P,4.7,0,0,1,$2269^{+204}_{-162}$,$> 803$,Yes
10878263,K00341.01,Kepler-414 c,CONFIRMED,5571,89,2020AJ....159..280B,18.21,0.31,2021ApJS..255...17S,-2,12,2269,204,162,,,,2.6,2022AJ....163..179P,7.17,0,0,1,$2269^{+204}_{-162}$,$> 803$,Yes
11283615,K02816.01,Kepler-1355 b,CONFIRMED,5322,95,2020AJ....159..280B,19.79,0.39,2021ApJS..255...17S,,,2271,123,107,,,,1.35,2020AJ....160..108B,1.29,0,0,0,$2271^{+123}_{-107}$,--,--
11513486,K04748.01,Kepler-1969 b,CONFIRMED,5708,106,2020AJ....159..280B,16.74,0.24,2021ApJS..255...17S,,,2272,344,254,,,,1.41,2020AJ....160..108B,6.65,0,0,0,$2272^{+344}_{-254}$,--,--
11126381,K01863.01,Kepler-1673 b,CONFIRMED,6029,98,2020AJ....159..280B,11.20,0.11,2021ApJS..255...17S,55,4,2275,584,594,2554,3180,1593,2.85,2022AJ....163..179P,33.79,0,0,1,$2275^{+584}_{-594}$,$2554^{+3180}_{-1593}$,Yes
9631762,K00588.01,Kepler-615 b,CONFIRMED,4692,126,2020AJ....159..280B,20.49,0.42,2019ApJS..244...21S,,,2276,98,85,,,,1.92,10.26133/NEA4,10.36,642,0,0,$2276^{+98}_{-85}$,--,--
12066569,K03282.01,Kepler-1455 b,CONFIRMED,4050,69,2020AJ....159..280B,17.96,0.30,2019ApJS..244...21S,11,56,2282,147,146,,,,1.93,2022AJ....163..179P,49.28,0,0,1,$2282^{+147}_{-146}$,$> 82$,Yes
6221385,K06145.01,Kepler-1641 b,CONFIRMED,5972,114,2020AJ....159..280B,12.56,0.13,2021ApJS..255...17S,,,2295,604,556,,,,3.01,2020AJ....160..108B,19.67,0,0,0,$2295^{+604}_{-556}$,--,--
6221385,K06145.02,Kepler-1641 c,CONFIRMED,5972,114,2020AJ....159..280B,12.56,0.13,2021ApJS..255...17S,,,2295,604,556,,,,2.76,2020AJ....160..108B,32.66,0,0,0,$2295^{+604}_{-556}$,--,--
11361646,K00330.01,Kepler-524 b,CONFIRMED,6010,112,2020AJ....159..280B,11.84,0.12,2021AJ....161..265D,38,4,2300,614,601,,,,2.75,2022AJ....163..179P,7.97,2566,0,1,$2300^{+614}_{-601}$,$> 241$,Yes
11361646,K00330.02,Kepler-524 c,CONFIRMED,6010,112,2020AJ....159..280B,11.84,0.12,2021AJ....161..265D,38,4,2300,614,601,,,,1.24,2022AJ....163..179P,1.89,2566,0,1,$2300^{+614}_{-601}$,$> 241$,Yes
10676824,K00599.01,Kepler-1724 b,CONFIRMED,5575,112,2020AJ....159..280B,18.33,0.32,2021ApJS..255...17S,,,2301,254,183,,,,2.79,2020AJ....160..108B,6.45,512,0,0,$2301^{+254}_{-183}$,--,--
9597806,K01481.01,Kepler-860 b,CONFIRMED,5590,102,2020AJ....159..280B,18.21,0.31,2021ApJS..255...17S,,,2303,242,182,,,,2.62,2020AJ....160..108B,5.1,64,0,0,$2303^{+242}_{-182}$,--,--
12403119,K01478.01,Kepler-858 b,CONFIRMED,5546,94,2020AJ....159..280B,18.63,0.33,2021ApJS..255...17S,2,9,2305,202,159,,,,5.0,2022AJ....163..179P,76.14,0,0,1,$2305^{+202}_{-159}$,$> 794$,Yes
9020160,K00582.03,Kepler-191 b,CONFIRMED,5105,76,2019ApJS..244...21S,20.78,0.44,2019ApJS..244...21S,-15,12,2310,95,89,,,,1.93,10.26133/NEA4,9.94,512,4,1,$2310^{+95}_{-89}$,$> 599$,Yes
9020160,K00582.02,Kepler-191 c,CONFIRMED,5105,76,2019ApJS..244...21S,20.78,0.44,2019ApJS..244...21S,-15,12,2310,95,89,,,,2.47,10.26133/NEA4,17.74,512,4,1,$2310^{+95}_{-89}$,$> 599$,Yes
9020160,K00582.01,Kepler-191 d,CONFIRMED,5105,76,2019ApJS..244...21S,20.78,0.44,2019ApJS..244...21S,-15,12,2310,95,89,,,,2.69,10.26133/NEA4,5.95,512,0,1,$2310^{+95}_{-89}$,$> 599$,Yes
8766650,K01904.01,Kepler-1008 b,CONFIRMED,4840,78,2020AJ....159..280B,21.07,0.45,2019ApJS..244...21S,-8,13,2312,84,81,,,,1.16,2022AJ....163..179P,12.44,0,0,1,$2312^{+84}_{-81}$,$> 353$,Yes
9823487,K01489.01,Kepler-1753 b,CONFIRMED,4947,88,2020AJ....159..280B,21.07,0.45,2019ApJS..244...21S,,,2316,87,83,,,,2.07,2020AJ....160..108B,16.0,0,0,0,$2316^{+87}_{-83}$,--,--
6690836,K02699.01,Kepler-1317 b,CONFIRMED,4959,81,2020AJ....159..280B,21.07,0.45,2021ApJS..255...17S,,,2317,87,83,,,,1.53,2020AJ....160..108B,0.57,0,0,0,$2317^{+87}_{-83}$,--,--
12470954,K00439.01,Kepler-554 b,CONFIRMED,5370,97,2020AJ....159..280B,19.89,0.39,2021AJ....161..265D,12,15,2322,140,119,,,,4.65,2020AJ....160..108B,1.9,2056,0,1,$2322^{+140}_{-119}$,$> 548$,Yes
6776401,K01847.01,Kepler-977 b,CONFIRMED,5080,85,2020AJ....159..280B,20.92,0.45,2021ApJS..255...17S,,,2322,95,89,,,,2.24,2020AJ....160..108B,26.85,0,0,0,$2322^{+95}_{-89}$,--,--
10123064,K00472.01,Kepler-565 b,CONFIRMED,5730,114,2020AJ....159..280B,16.74,0.24,2021ApJS..255...17S,,,2327,385,285,,,,3.16,10.26133/NEA4,4.24,898,0,0,$2327^{+385}_{-285}$,--,--
9472000,K02082.01,Kepler-1790 b,CONFIRMED,6078,131,2020AJ....159..280B,15.37,0.17,2018MNRAS.474.2094A,58,5,3231,359,531,2335,3148,1485,2.63,2022AJ....163..179P,31.59,2560,0,1,$3231^{+359}_{-531}$,$2335^{+3148}_{-1485}$,Yes
4249725,K00222.01,Kepler-120 b,CONFIRMED,4542,75,2020AJ....159..280B,20.49,0.42,2019ApJS..244...21S,22,13,2337,111,96,,,,2.53,2022AJ....163..179P,6.31,0,0,1,$2337^{+111}_{-96}$,$> 155$,Yes
4249725,K00222.02,Kepler-120 c,CONFIRMED,4542,75,2020AJ....159..280B,20.49,0.42,2019ApJS..244...21S,22,13,2337,111,96,,,,2.02,2022AJ....163..179P,12.79,0,0,1,$2337^{+111}_{-96}$,$> 155$,Yes
9266431,K00704.01,Kepler-1726 b,CONFIRMED,5246,86,2020AJ....159..280B,20.64,0.43,2021ApJS..255...17S,-1,6,2350,114,103,,,,1.96,2022AJ....163..179P,18.4,0,4,1,$2350^{+114}_{-103}$,$> 693$,Yes
10987985,K00758.01,Kepler-665 b,CONFIRMED,4822,91,2020AJ....159..280B,21.36,0.47,2019ApJS..244...21S,,,2351,89,84,,,,2.69,2020AJ....160..108B,16.01,0,0,0,$2351^{+89}_{-84}$,--,--
9480189,K00941.02,Kepler-257 b,CONFIRMED,5188,155,2019ApJS..244...21S,20.78,0.44,2019ApJS..244...21S,26,16,2353,137,108,,,,2.74,10.26133/NEA4,2.38,512,0,1,$2353^{+137}_{-108}$,$> 323$,Yes
9480189,K00941.01,Kepler-257 c,CONFIRMED,5188,155,2019ApJS..244...21S,20.78,0.44,2019ApJS..244...21S,26,16,2353,137,108,,,,4.56,10.26133/NEA4,6.58,512,0,1,$2353^{+137}_{-108}$,$> 323$,Yes
9480189,K00941.03,Kepler-257 d,CONFIRMED,5188,155,2019ApJS..244...21S,20.78,0.44,2019ApJS..244...21S,26,16,2353,137,108,,,,5.34,10.26133/NEA4,24.66,512,0,1,$2353^{+137}_{-108}$,$> 323$,Yes
6606438,K02860.01,Kepler-1883 b,CONFIRMED,5835,105,2020AJ....159..280B,15.30,0.17,2021ApJS..255...17S,,,2364,450,371,,,,2.97,2020AJ....160..108B,103.43,0,0,0,$2364^{+450}_{-371}$,--,--
5269467,K01672.01,Kepler-925 b,CONFIRMED,4630,88,2020AJ....159..280B,21.06,0.45,2019ApJS..244...21S,-17,13,2365,107,93,,,,2.08,2022AJ....163..179P,33.87,0,0,1,$2365^{+107}_{-93}$,$> 244$,Yes
7386827,K01704.01,Kepler-1765 b,CONFIRMED,5576,101,2020AJ....159..280B,18.73,0.34,2021ApJS..255...17S,,,2370,232,179,,,,2.55,2020AJ....160..108B,10.42,0,4,0,$2370^{+232}_{-179}$,--,--
7849854,K00897.01,Kepler-718 b,CONFIRMED,5869,113,2020AJ....159..280B,14.79,0.15,2021ApJS..255...17S,,,2373,507,424,,,,13.66,2020AJ....160..108B,2.05,0,0,0,$2373^{+507}_{-424}$,--,--
8110767,K02504.01,Kepler-1685 b,CONFIRMED,5464,107,2020AJ....159..280B,19.66,0.38,2021ApJS..255...17S,,,2376,186,147,,,,2.16,2020AJ....160..108B,20.49,0,0,0,$2376^{+186}_{-147}$,--,--
7430034,K01848.01,Kepler-978 b,CONFIRMED,5595,113,2020AJ....159..280B,18.57,0.33,2021ApJS..255...17S,42,3,2377,271,199,,,,3.33,10.26133/NEA4,49.62,642,4,1,$2377^{+271}_{-199}$,$> 327$,Yes
2854698,K00986.01,Kepler-260 b,CONFIRMED,5542,87,2020AJ....159..280B,19.12,0.36,2021ApJS..255...17S,-8,24,2384,190,157,,,,2.09,2022AJ....163..179P,8.19,0,0,1,$2384^{+190}_{-157}$,$> 606$,Yes
2854698,K00986.02,Kepler-260 c,CONFIRMED,5542,87,2020AJ....159..280B,19.12,0.36,2021ApJS..255...17S,-8,24,2384,190,157,,,,1.93,2022AJ....163..179P,76.05,0,0,1,$2384^{+190}_{-157}$,$> 606$,Yes
9758089,K01871.02,Kepler-1996 b,CONFIRMED,4589,75,2020AJ....159..280B,21.07,0.45,2021AJ....161..265D,6,14,2386,111,96,,,,1.96,2022AJ....163..179P,32.38,2048,4,1,$2386^{+111}_{-96}$,$> 204$,Yes
9758089,K01871.01,Kepler-1996 c,CONFIRMED,4589,75,2020AJ....159..280B,21.07,0.45,2021AJ....161..265D,6,14,2386,111,96,,,,2.55,2022AJ....163..179P,92.73,2048,4,1,$2386^{+111}_{-96}$,$> 204$,Yes
10285631,K00331.01,Kepler-525 b,CONFIRMED,5609,115,2020AJ....159..280B,18.50,0.33,SantosPrivComm,35,3,2390,286,209,,,,3.93,2022AJ....163..179P,18.68,518,4,1,$2390^{+286}_{-209}$,$> 404$,Yes
